バス停名,緯度,経度,バス停ID
浜崎駅北口,33.447012,130.036945,浜崎駅北口
浜崎四ッ角(2),33.44938,130.04144,浜崎四ッ角(2)
浜玉中学校前(2),33.4489,130.0455,浜玉中学校前(2)
大江,33.44787,130.04842,大江
大江上(2),33.44796,130.05176,大江上(2)
新岡口橋(2),33.44489,130.0571,新岡口橋(2)
土井,33.4439,130.05939,土井
玉島神社前（バス）,33.44174,130.06396,玉島神社前（バス）
五反田,33.44117,130.06662,五反田
簗場,33.44171,130.07129,簗場
下柳瀬,33.44,130.08466,下柳瀬
上柳瀬(1),33.43906,130.0905,上柳瀬(1)
鮎返(2),33.44453,130.1021,鮎返(2)
樽門,33.44498,130.10744,樽門
藤川,33.44422,130.11223,藤川
七山,33.44368,130.11552,七山
七山郵便局前,33.442667,130.115908,七山郵便局前
七山市民センター前,33.441693,130.116152,七山市民センター前
鮎返(1),33.44441,130.10202,鮎返(1)
新岡口橋(1),33.44474,130.05701,新岡口橋(1)
大江上(1),33.44774,130.0518,大江上(1)
浜玉中学校前(1),33.44868,130.04594,浜玉中学校前(1)
浜崎四ッ角(1),33.44934,130.04144,浜崎四ッ角(1)
松浦橋(2),33.44429,129.98213,松浦橋(2)
船宮(2),33.44544,129.9796,船宮(2)
栄町(2),33.44781,129.97528,栄町(2)
千代田町(2),33.44871,129.97359,千代田町(2)
大手口（降車場2）,33.449158,129.970644,大手口（降車場2）
愛敬町(1),33.26225,130.29994,愛敬町(1)
三溝東(2),33.26838,130.29651,三溝東(2)
商業校門前(2),33.27011,130.29555,商業校門前(2)
長瀬(2),33.29391,130.28429,長瀬(2)
五領,33.29991,130.280353,五領
イオンモール佐賀大和(2),33.30297,130.28178,イオンモール佐賀大和(2)
駄市川原(2),33.30918,130.2765,駄市川原(2)
大和中学校前(2),33.3091,130.2693,大和中学校前(2)
立石(2),33.30841,130.26509,立石(2)
大橋（大和町）,33.3076,130.25954,大橋（大和町）
中極(2),33.30648,130.25407,中極(2)
大久保（大和町）(2),33.30491,130.24936,大久保（大和町）(2)
江熊野,33.304,130.24614,江熊野
大和特別支援学校前(2),33.3034,130.24283,大和特別支援学校前(2)
今古賀（大和町）,33.30307,130.24059,今古賀（大和町）
山王(2),33.30253,130.2374,山王(2)
今市(2),33.3016,130.23155,今市(2)
大地町(2),33.3005,130.22481,大地町(2)
御門前,33.29962,130.21547,御門前
高原(2),33.2997,130.20746,高原(2)
上町（小城）(2),33.29997,130.20392,上町（小城）(2)
ひらまつ病院,33.29765,130.20076,ひらまつ病院
下町（小城）(2),33.29544,130.20117,下町（小城）(2)
小城,33.29356,130.19905,小城
下町（小城）(1),33.29549,130.20103,下町（小城）(1)
上町（小城）(1),33.30029,130.20396,上町（小城）(1)
高原(1),33.29976,130.20753,高原(1)
大地町(1),33.30087,130.22607,大地町(1)
今市(1),33.30174,130.23181,今市(1)
山王(1),33.30238,130.23553,山王(1)
大和特別支援学校前(1),33.30354,130.24319,大和特別支援学校前(1)
大久保（大和町）(1),33.3051,130.24971,大久保（大和町）(1)
中極(1),33.30711,130.25543,中極(1)
立石(1),33.30838,130.26421,立石(1)
大和中学校前(1),33.30915,130.26854,大和中学校前(1)
駄市川原(1),33.30931,130.27759,駄市川原(1)
イオンモール佐賀大和(1),33.30281,130.28159,イオンモール佐賀大和(1)
五領,33.299995,130.280541,五領
長瀬(1),33.29396,130.2845,長瀬(1)
商業校門前(1),33.27013,130.29572,商業校門前(1)
三溝東(1),33.26789,130.29671,三溝東(1)
愛敬町(2),33.26215,130.29993,愛敬町(2)
護国神社前(1),33.25308,130.29344,護国神社前(1)
百人町(1),33.44013,129.98676,百人町(1)
先石(1),33.43617,129.9872,先石(1)
市民グラウンド前(1),33.43305,129.98851,市民グラウンド前(1)
文化体育館前(2),33.432,129.98906,文化体育館前(2)
生駒大橋(2),33.42668,130.00229,生駒大橋(2)
生駒(2),33.4218,129.99945,生駒(2)
原(2),33.41856,129.99725,原(2)
下久里(2),33.41118,129.99217,下久里(2)
唐津うまかもん市場前(2),33.40862,129.98973,唐津うまかもん市場前(2)
久里(2),33.40612,129.98669,久里(2)
城(2),33.4003,129.98735,城(2)
つつじケ丘団地,33.39684,129.98721,つつじケ丘団地
佐賀整肢学園前(2),33.39715,129.98538,佐賀整肢学園前(2)
唐津特別支援学校前(2),33.39741,129.98016,唐津特別支援学校前(2)
心月寺前(2),33.38624,129.98322,心月寺前(2)
坊中,33.3798,129.97545,坊中
芳谷(2),33.37719,129.97226,芳谷(2)
矢代町,33.37189,129.96446,矢代町
岸山(2),33.37439,129.95694,岸山(2)
徳須恵(2),33.37574,129.95056,徳須恵(2)
市民病院きたはた,33.37455,129.94592,市民病院きたはた
徳須恵(1),33.37585,129.95045,徳須恵(1)
岸山(1),33.37461,129.95699,岸山(1)
心月寺前(1),33.38617,129.98303,心月寺前(1)
唐津特別支援学校前(1),33.39753,129.98009,唐津特別支援学校前(1)
佐賀整肢学園前(1),33.39725,129.98547,佐賀整肢学園前(1)
城(1),33.40071,129.98708,城(1)
久里(1),33.40608,129.98637,久里(1)
唐津うまかもん市場前(1),33.40848,129.98936,唐津うまかもん市場前(1)
下久里(1),33.41138,129.99208,下久里(1)
原(1),33.41877,129.99722,原(1)
生駒(1),33.42242,129.99971,生駒(1)
生駒大橋(1),33.42656,130.00214,生駒大橋(1)
文化体育館前(1),33.43135,129.98907,文化体育館前(1)
市民グラウンド前(2),33.4339,129.98801,市民グラウンド前(2)
先石(2),33.43709,129.98694,先石(2)
百人町(2),33.44024,129.9866,百人町(2)
九大学研都市駅 1番乗り場,33.578539,130.259169,九大学研都市駅 1番乗り場
北原(2),33.580197,130.256293,北原(2)
山崎(2),33.576989,130.252429,山崎(2)
周船寺東口(2),33.574399,130.249179,周船寺東口(2)
周船寺(2),33.572984,130.244569,周船寺(2)
泉(2),33.577838,130.241545,泉(2)
富士見(2),33.580917,130.240174,富士見(2)
たろう保育園前(2),33.583184,130.238931,たろう保育園前(2)
元岡農協前(2),33.587615,130.236557,元岡農協前(2)
産学連携交流センター(2),33.593713,130.229148,産学連携交流センター(2)
西消防署元岡出張所前(2),33.595129,130.227002,西消防署元岡出張所前(2)
九大ビッグオレンジ(2),33.598206,130.223539,九大ビッグオレンジ(2)
九大理学部,33.597473,130.219893,九大理学部
九大工学部(2),33.596995,130.217137,九大工学部(2)
九大農学部(2),33.594497,130.21402,九大農学部(2)
九大船舶・航空実験棟(2),33.597524,130.211548,九大船舶・航空実験棟(2)
九大総合グラウンド(2),33.599406,130.210055,九大総合グラウンド(2)
九大総合グラウンド(1),33.599441,130.210191,九大総合グラウンド(1)
九大船舶・航空実験棟(1),33.597394,130.211811,九大船舶・航空実験棟(1)
九大農学部(1),33.594614,130.212853,九大農学部(1)
九大工学部(1),33.596538,130.216305,九大工学部(1)
九大ビッグオレンジ(1),33.59766,130.221627,九大ビッグオレンジ(1)
九大センターゾーン入口,33.59782,130.224626,九大センターゾーン入口
西消防署元岡出張所前(1),33.595017,130.227534,西消防署元岡出張所前(1)
産学連携交流センター(1),33.593872,130.229249,産学連携交流センター(1)
元岡農協前(1),33.587528,130.236707,元岡農協前(1)
たろう保育園前(1),33.583985,130.238221,たろう保育園前(1)
富士見(1),33.580572,130.240456,富士見(1)
泉(1),33.57767,130.241738,泉(1)
周船寺(1),33.573443,130.245681,周船寺(1)
周船寺東口(1),33.574515,130.249163,周船寺東口(1)
山崎(1),33.577054,130.252225,山崎(1)
北原(1),33.580249,130.256095,北原(1)
九大学研都市駅 降車場,33.578274,130.259377,九大学研都市駅 降車場
九大センターゾーン入口,33.59903,130.223901,九大センターゾーン入口
九大学研都市駅 3番乗り場,33.578237,130.258651,九大学研都市駅 3番乗り場
ゲートウェイ(2),33.580703,130.253021,ゲートウェイ(2)
学園通(2),33.585047,130.249523,学園通(2)
元岡郵便局前(2),33.587935,130.245009,元岡郵便局前(2)
元岡小学校前(2),33.58898,130.239124,元岡小学校前(2)
元岡小学校前(1),33.589122,130.239445,元岡小学校前(1)
元岡郵便局前(1),33.588094,130.245103,元岡郵便局前(1)
学園通(1),33.5843,130.250408,学園通(1)
ゲートウェイ(1),33.581305,130.252801,ゲートウェイ(1)
九大東ゲート(2),33.601214,130.229387,九大東ゲート(2)
九大イーストゾーン(2),33.598899,130.228839,九大イーストゾーン(2)
九大中央図書館(2),33.597596,130.2264,九大中央図書館(2)
九大中央図書館(1),33.598328,130.22586,九大中央図書館(1)
九大イーストゾーン(1),33.599743,130.228202,九大イーストゾーン(1)
九大東ゲート(1),33.601364,130.229395,九大東ゲート(1)
九大学研都市駅 2番乗り場,33.578432,130.2592,九大学研都市駅 2番乗り場
舞鶴高校入口(2),33.583532,130.25913,舞鶴高校入口(2)
横浜西(2),33.585706,130.258366,横浜西(2)
工芸会ワークセンター(2),33.586825,130.256667,工芸会ワークセンター(2)
玄洋高校(2),33.587279,130.252839,玄洋高校(2)
今出(2),33.58791,130.247386,今出(2)
桑原西,33.602521,130.222511,桑原西
桑原公民館,33.603804,130.224891,桑原公民館
桑原東,33.604935,130.227748,桑原東
九大伊都協奏館,33.603345,130.228517,九大伊都協奏館
九大学研都市駅 4番乗り場,33.578257,130.258796,九大学研都市駅 4番乗り場
泊北口(2),33.584793,130.215236,泊北口(2)
国際村前,33.583921,130.212984,国際村前
仏青寮前,33.5846,130.210423,仏青寮前
仏青寮前,33.584534,130.210689,仏青寮前
国際村前,33.584058,130.213196,国際村前
泊北口(1),33.584877,130.215086,泊北口(1)
今出(1),33.587948,130.247785,今出(1)
玄洋高校(1),33.587504,130.252,玄洋高校(1)
工芸会ワークセンター(1),33.58689,130.257,工芸会ワークセンター(1)
横浜西(1),33.584652,130.258821,横浜西(1)
舞鶴高校入口(1),33.583293,130.259359,舞鶴高校入口(1)
一蘭の森（糸島）,33.592849,130.201198,一蘭の森（糸島）
元岡(2),33.591148,130.22373,元岡(2)
山手,33.594935,130.2261,山手
元岡(1),33.591219,130.223566,元岡(1)
前原駅北口,33.557194,130.198765,前原駅北口
丸田池公園前(1),33.557996,130.198453,丸田池公園前(1)
伊都文化会館前(1),33.560204,130.203702,伊都文化会館前(1)
糸島農協前(1),33.560984,130.208266,糸島農協前(1)
浦志(1),33.562199,130.212481,浦志(1)
潤(1),33.563636,130.218435,潤(1)
産の宮(1),33.564563,130.223273,産の宮(1)
産の宮北(1),33.565757,130.224189,産の宮北(1)
東風小学校東(1),33.567248,130.220232,東風小学校東(1)
東風コミュニティセンター前(1),33.568434,130.21505,東風コミュニティセンター前(1)
泊三区(1),33.571536,130.213615,泊三区(1)
泊東口(1),33.574736,130.213477,泊東口(1)
大塚(1),33.578666,130.215272,大塚(1)
伊都の湯どころ入口,33.583619,130.214473,伊都の湯どころ入口
九大ビッグオレンジ(3),33.597778,130.221981,九大ビッグオレンジ(3)
伊都の湯どころ入口,33.583371,130.214813,伊都の湯どころ入口
大塚(2),33.578789,130.215458,大塚(2)
泊東口(2),33.574661,130.213521,泊東口(2)
泊三区(2),33.571741,130.213649,泊三区(2)
東風コミュニティセンター前(2),33.568223,130.215267,東風コミュニティセンター前(2)
東風小学校東(2),33.567294,130.220119,東風小学校東(2)
産の宮北(2),33.565646,130.224472,産の宮北(2)
産の宮(2),33.564616,130.223863,産の宮(2)
潤(2),33.563487,130.218121,潤(2)
浦志(2),33.56211,130.212522,浦志(2)
糸島農協前(2),33.560643,130.207327,糸島農協前(2)
伊都文化会館前(2),33.560088,130.203692,伊都文化会館前(2)
丸田池公園前(2),33.5582,130.198505,丸田池公園前(2)
周船寺小学校前(1),33.571619,130.240038,周船寺小学校前(1)
高田（前原）(1),33.570419,130.235998,高田（前原）(1)
波多江小学校前(1),33.567271,130.230932,波多江小学校前(1)
東風小学校入口(1),33.568088,130.220598,東風小学校入口(1)
志登(1),33.572228,130.218744,志登(1)
志登(2),33.57214,130.218979,志登(2)
東風小学校入口(2),33.568007,130.220731,東風小学校入口(2)
波多江小学校前(2),33.566601,130.229775,波多江小学校前(2)
高田（前原）(2),33.570967,130.237463,高田（前原）(2)
周船寺小学校前(2),33.572021,130.240977,周船寺小学校前(2)
馬場,33.58731,130.203667,馬場
松隈,33.586643,130.199777,松隈
町頭,33.581254,130.201504,町頭
油比,33.579167,130.200266,油比
新田（前原市）,33.572357,130.200141,新田（前原市）
医師会病院前,33.567481,130.202213,医師会病院前
吉原橋(2),33.56556,130.202331,吉原橋(2)
前原コミュニティセンター前(2),33.561312,130.202451,前原コミュニティセンター前(2)
前原コミュニティセンター前(1),33.561319,130.20233,前原コミュニティセンター前(1)
吉原橋(1),33.565011,130.202117,吉原橋(1)
泊二区,33.575694,130.204215,泊二区
泊一区,33.577098,130.209324,泊一区
桂木（前原）(1),33.583872,130.210907,桂木（前原）(1)
井原山入口,33.498543,130.248229,井原山入口
瑞梅寺ダム,33.504383,130.249098,瑞梅寺ダム
辰ヶ橋,33.50897,130.247989,辰ヶ橋
辰ヶ橋入口,33.512654,130.244843,辰ヶ橋入口
瑞梅寺,33.515763,130.241796,瑞梅寺
瑞梅寺入口,33.519564,130.240907,瑞梅寺入口
井原（前原）,33.527271,130.243031,井原（前原）
下町（前原）,33.53243,130.242663,下町（前原）
伊都国歴史博物館,33.537647,130.250946,伊都国歴史博物館
三雲宮前,33.537329,130.242067,三雲宮前
三雲橋,33.539854,130.238704,三雲橋
井田,33.5464,130.233816,井田
前原東中前,33.546062,130.230953,前原東中前
平原古墳入口,33.543451,130.230514,平原古墳入口
三雲入口,33.540615,130.230855,三雲入口
曽根公民館,33.538513,130.231109,曽根公民館
銭瓶塚,33.535521,130.23148,銭瓶塚
曽根,33.532805,130.231826,曽根
曽根グラウンド,33.530649,130.232091,曽根グラウンド
中町,33.552148,130.231121,中町
JA伊都菜彩前,33.555785,130.229187,JA伊都菜彩前
波多江,33.559874,130.227424,波多江
波多江駅西,33.56293,130.225762,波多江駅西
波多江駅西,33.562921,130.225887,波多江駅西
三雲橋,33.539956,130.238743,三雲橋
星賀,33.449833,129.790193,星賀
里,33.45088,129.7916,里
伊仲,33.44949,129.79424,伊仲
松山,33.44653,129.79678,松山
宇の山,33.44366,129.80923,宇の山
入野,33.44143,129.81551,入野
福祉センター前,33.42242,129.83235,福祉センター前
細浦,33.42163,129.82925,細浦
高串,33.42273,129.8262,高串
土井の浦,33.42398,129.82513,土井の浦
田野入口,33.42918,129.82803,田野入口
古保志気(2),33.43219,129.82936,古保志気(2)
長畑,33.43692,129.8231,長畑
肥前中学校前,33.44066,129.81908,肥前中学校前
菖津,33.45555,129.83545,菖津
大鶴,33.45192,129.83484,大鶴
大鶴入口,33.44291,129.83488,大鶴入口
梅崎,33.44228,129.839,梅崎
納所,33.46775,129.8116,納所
農協前（肥前町）,33.46683,129.81476,農協前（肥前町）
内木場,33.46487,129.81662,内木場
山口,33.46339,129.81976,山口
柳田橋,33.4571,129.82059,柳田橋
山添,33.44703,129.81734,山添
山田前,33.44504,129.81509,山田前
大手口（唐津バスセンター2番乗り場）,33.449551,129.969443,大手口（唐津バスセンター2番乗り場）
坊主町(2),33.44981,129.96481,坊主町(2)
熊の原,33.44586,129.9622,熊の原
長松校前,33.44405,129.96045,長松校前
見借分道(1),33.44201,129.95853,見借分道(1)
神田(2),33.43964,129.9541,神田(2)
お茶の水,33.43899,129.95131,お茶の水
窯元前（唐津）,33.43637,129.94839,窯元前（唐津）
平木場ダム,33.43313,129.94315,平木場ダム
平木場,33.43227,129.94034,平木場
八谷橋,33.42853,129.93712,八谷橋
椎木茶屋,33.42469,129.92448,椎木茶屋
竹木場(2),33.421525,129.920395,竹木場(2)
小十入口(2),33.42437,129.91629,小十入口(2)
稲荷茶屋,33.42677,129.90691,稲荷茶屋
雨溜,33.42513,129.90195,雨溜
切木,33.42785,129.88391,切木
切木郵便局前,33.42783,129.88098,切木郵便局前
ぼたんと緑の丘入口(2),33.42361,129.87474,ぼたんと緑の丘入口(2)
万賀里川,33.42233,129.86978,万賀里川
瓜ヶ坂入口,33.42285,129.86292,瓜ヶ坂入口
八折栄,33.42571,129.85982,八折栄
放四郎川,33.4281,129.84622,放四郎川
新木場,33.42948,129.84122,新木場
比恵田,33.43168,129.8387,比恵田
寺浦,33.44373,129.8485,寺浦
太田橋,33.44671,129.86005,太田橋
牟形コミュニティセンター前(1),33.44867,129.85959,牟形コミュニティセンター前(1)
牟形(1),33.45683,129.85779,牟形(1)
牟形入口,33.46,129.85826,牟形入口
新田第２町営住宅前,33.4622,129.85902,新田第２町営住宅前
唐津青翔高校前(2),33.46573,129.85872,唐津青翔高校前(2)
満越,33.40778,129.85703,満越
大浦浜入口,33.41351,129.85735,大浦浜入口
大浦岡,33.4165,129.86354,大浦岡
切木小学校前,33.42136,129.87119,切木小学校前
大浦入口,33.41339,129.87111,大浦入口
中浦,33.40974,129.87782,中浦
杉野浦,33.40071,129.87675,杉野浦
平畑,33.39642,129.87816,平畑
上筒井,33.3942,129.88292,上筒井
木場,33.40307,129.89441,木場
清水入口,33.40663,129.89833,清水入口
萩の坂,33.40765,129.90402,萩の坂
木場分道,33.41286,129.90633,木場分道
唐の川,33.41623,129.91039,唐の川
竹木場(1),33.42181,129.92067,竹木場(1)
神田(1),33.43985,129.95441,神田(1)
坊主町(1),33.44938,129.9646,坊主町(1)
大手口（降車場1）,33.449522,129.969697,大手口（降車場1）
古保志気(3),33.4323,129.82945,古保志気(3)
ぼたんと緑の丘入口(1),33.42433,129.8754,ぼたんと緑の丘入口(1)
小十入口(1),33.42471,129.91653,小十入口(1)
旭ヶ丘一区(2),33.440264,129.965068,旭ヶ丘一区(2)
糸島市役所前(2),33.556763,130.195448,糸島市役所前(2)
糸島高校前駅北口,33.560938,130.213475,糸島高校前駅北口
周船寺駅,33.570956,130.246087,周船寺駅
糸島市役所前(1),33.556997,130.196331,糸島市役所前(1)
大和支所前(2),33.31207,130.28062,大和支所前(2)
高志館高校前(2),33.31392,130.27907,高志館高校前(2)
清和医院前(2),33.31597,130.27742,清和医院前(2)
惣座(2),33.320437,130.273283,惣座(2)
大和公民館(2),33.32279,130.27081,大和公民館(2)
ユースピア入口(2),33.32544,130.26949,ユースピア入口(2)
川上橋,33.32695,130.268251,川上橋
下小原(2),33.32969,130.26706,下小原(2)
小原（大和町）,33.33339,130.26218,小原（大和町）
上小原(2),33.33661,130.25932,上小原(2)
八反原(2),33.33963,130.25385,八反原(2)
山溜(2),33.34387,130.24734,山溜(2)
第一発電所前,33.34893,130.2473,第一発電所前
下中の原,33.35112,130.24715,下中の原
中の原,33.35341,130.24704,中の原
富士大和温泉病院,33.35577,130.24904,富士大和温泉病院
内野(2),33.35882,130.24892,内野(2)
内野上(2),33.36059,130.24962,内野上(2)
自動車学校前(2),33.36283,130.2475,自動車学校前(2)
熊の川温泉前(2),33.36525,130.24049,熊の川温泉前(2)
小関橋(2),33.3646,130.23778,小関橋(2)
上熊の川,33.3638,130.23341,上熊の川
鮎の瀬(2),33.3649,130.22935,鮎の瀬(2)
柚の木入口,33.36637,130.2106,柚の木入口
矢櫃(2),33.36647,130.20834,矢櫃(2)
天河橋,33.36864,130.20547,天河橋
古湯温泉(2),33.37125,130.20654,古湯温泉(2)
フォレスタふじ前(2),33.3737,130.20659,フォレスタふじ前(2)
富士支所前,33.37356,130.20807,富士支所前
古湯温泉(1),33.37161,130.20657,古湯温泉(1)
矢櫃(1),33.36669,130.2072,矢櫃(1)
鮎の瀬(1),33.36496,130.22916,鮎の瀬(1)
小関橋(1),33.3653,130.2386,小関橋(1)
熊の川温泉前(1),33.365323,130.240591,熊の川温泉前(1)
自動車学校前(1),33.363,130.24739,自動車学校前(1)
内野上(1),33.36103,130.24983,内野上(1)
内野(1),33.35889,130.24913,内野(1)
山溜(1),33.343317,130.247536,山溜(1)
八反原(1),33.33958,130.25401,八反原(1)
下小原(1),33.33039,130.26645,下小原(1)
ユースピア入口(1),33.3255,130.26961,ユースピア入口(1)
大和公民館(1),33.32281,130.27098,大和公民館(1)
惣座(1),33.32038,130.2737,惣座(1)
清和医院前(1),33.31581,130.27773,清和医院前(1)
高志館高校前(1),33.31446,130.27873,高志館高校前(1)
大和支所前(1),33.31228,130.28058,大和支所前(1)
富士小学校前(1),33.36575,130.23756,富士小学校前(1)
呼子,33.53716,129.89386,呼子
殿の浦入口(1),33.53507,129.89301,殿の浦入口(1)
横竹(1),33.53046,129.89854,横竹(1)
中野(1),33.52849,129.90613,中野(1)
塩鶴(1),33.52477,129.91061,塩鶴(1)
菖蒲峠(1),33.51368,129.9207,菖蒲峠(1)
菖蒲(1),33.50663,129.91911,菖蒲(1)
山口茶屋(1),33.50321,129.91794,山口茶屋(1)
八床入口,33.50062,129.92226,八床入口
岩野(1),33.49512,129.92117,岩野(1)
浦(1),33.48726,129.93433,浦(1)
唐房入口(1),33.47927,129.93591,唐房入口(1)
浜町(1),33.47511,129.9377,浜町(1)
八幡橋(1),33.47252,129.9399,八幡橋(1)
中の瀬(1),33.47057,129.94337,中の瀬(1)
藤崎通り(1),33.46845,129.95126,藤崎通り(1)
妙見神社下(1),33.46719,129.95346,妙見神社下(1)
西唐津二丁目(1),33.464,129.95572,西唐津二丁目(1)
西唐津駅前(1),33.4614,129.95732,西唐津駅前(1)
唐津南高下,33.44565,129.9576,唐津南高下
鬼塚駅前(1),33.42046,129.98683,鬼塚駅前(1)
鬼塚(1),33.41754,129.98607,鬼塚(1)
春日様前(1),33.40892,129.97847,春日様前(1)
川原橋(1),33.40437,129.97336,川原橋(1)
鬼塚中学校前(2),33.40186,129.97414,鬼塚中学校前(2)
唐津自動車学校前(1),33.39749,129.97803,唐津自動車学校前(1)
工業高校前,33.39433,129.97163,工業高校前
打上(1),33.51587,129.9048,打上(1)
山口茶屋(3),33.503716,129.91666,山口茶屋(3)
二タ子一丁目（さんて入口）(1),33.45688,129.95952,二タ子一丁目（さんて入口）(1)
西朝日町(1),33.45372,129.96165,西朝日町(1)
朝日町(1),33.45202,129.96353,朝日町(1)
朝日町(2),33.4513,129.96432,朝日町(2)
西朝日町(2),33.45347,129.96175,西朝日町(2)
二タ子一丁目（さんて入口）(2),33.45734,129.95937,二タ子一丁目（さんて入口）(2)
西唐津駅前(2),33.46131,129.95726,西唐津駅前(2)
西唐津二丁目(2),33.46466,129.95514,西唐津二丁目(2)
妙見神社下(2),33.46697,129.95364,妙見神社下(2)
藤崎通り(2),33.46841,129.95119,藤崎通り(2)
中の瀬(2),33.47005,129.94415,中の瀬(2)
八幡橋(2),33.47251,129.93971,八幡橋(2)
浜町(2),33.47496,129.93773,浜町(2)
唐房入口(2),33.47914,129.93575,唐房入口(2)
浦(2),33.48711,129.93446,浦(2)
岩野(2),33.49421,129.92184,岩野(2)
山口茶屋(2),33.50266,129.91782,山口茶屋(2)
打上(2),33.5162,129.90407,打上(2)
中野(2),33.52838,129.90611,中野(2)
横竹(2),33.53029,129.89845,横竹(2)
殿の浦入口(2),33.534883,129.893018,殿の浦入口(2)
菖蒲(2),33.50659,129.91899,菖蒲(2)
菖蒲峠(2),33.51288,129.92075,菖蒲峠(2)
塩鶴(2),33.52483,129.910477,塩鶴(2)
五中前(1),33.43999,129.98265,五中前(1)
本村(1),33.43511,129.98079,本村(1)
殿の浦,33.53656,129.89139,殿の浦
殿の浦南(2),33.5318,129.89162,殿の浦南(2)
ひばりヶ丘(1),33.53017,129.88875,ひばりヶ丘(1)
呼子公民館(2),33.53276,129.887113,呼子公民館(2)
ひばりヶ丘(3),33.52971,129.88907,ひばりヶ丘(3)
徳川家康別陣下,33.533572,129.882643,徳川家康別陣下
呼子大橋,33.53942,129.88432,呼子大橋
片島,33.54728,129.88118,片島
田島神社,33.55482,129.8905,田島神社
加部島中部,33.55555,129.88817,加部島中部
加部島杉村,33.55823,129.88803,加部島杉村
風の見える丘公園,33.549536,129.881319,風の見える丘公園
伊達政宗陣跡（海青中学校前）(1),33.52971,129.8868,伊達政宗陣跡（海青中学校前）(1)
ひばりヶ丘(2),33.52996,129.88994,ひばりヶ丘(2)
殿の浦南(1),33.53164,129.89136,殿の浦南(1)
呼子公民館(1),33.53224,129.88713,呼子公民館(1)
持山上,33.53779,129.89865,持山上
長沙子,33.54394,129.8994,長沙子
小友,33.545705,129.906405,小友
尾の上,33.54787,129.89685,尾の上
呼子台場みなとプラザ,33.54678,129.89191,呼子台場みなとプラザ
呼子市民センター前,33.543166,129.89256,呼子市民センター前
加唐島・馬渡島・航路乗り場,33.541568,129.893919,加唐島・馬渡島・航路乗り場
小川島航路乗り場,33.538953,129.894814,小川島航路乗り場
伊達政宗陣跡（海青中学校前）(2),33.52955,129.88568,伊達政宗陣跡（海青中学校前）(2)
名護屋大橋(2),33.52913,129.88417,名護屋大橋(2)
名護屋浜,33.53313,129.87807,名護屋浜
桟橋前,33.535063,129.878357,桟橋前
駐在所前,33.532724,129.87243,駐在所前
鎮西市民センター前(1),33.52879,129.87607,鎮西市民センター前(1)
名護屋港入口(1),33.52856,129.87888,名護屋港入口(1)
名護屋大橋(1),33.52916,129.88391,名護屋大橋(1)
名護屋港入口(2),33.52844,129.87897,名護屋港入口(2)
鎮西市民センター前(2),33.528818,129.875331,鎮西市民センター前(2)
名護屋城博物館入口(2),33.5289,129.8734,名護屋城博物館入口(2)
名護屋城址(2),33.53175,129.86937,名護屋城址(2)
串(2),33.518849,129.853234,串(2)
外津橋,33.51448,129.84686,外津橋
九州電力今村寮(1),33.51082,129.84651,九州電力今村寮(1)
値賀,33.50866,129.84726,値賀
玄海町中通り,33.50354,129.85104,玄海町中通り
今村,33.49976,129.84999,今村
浜野浦の棚田(1),33.49141,129.84811,浜野浦の棚田(1)
大薗北,33.48385,129.84831,大薗北
大薗,33.48005,129.84796,大薗
津賀根,33.47067,129.85344,津賀根
唐津青翔高校前(1),33.46583,129.85896,唐津青翔高校前(1)
西山(2),33.42903,129.98381,西山(2)
天満町南(2),33.43015,129.98781,天満町南(2)
大土井(2),33.42668,129.9888,大土井(2)
宇の木(2),33.40231,129.96788,宇の木(2)
千々賀(2),33.39946,129.96088,千々賀(2)
下畑島(2),33.39578,129.95557,下畑島(2)
畑島(2),33.392773,129.952705,畑島(2)
竹有(2),33.38622,129.94823,竹有(2)
北波多中学校前(2),33.37856,129.95314,北波多中学校前(2)
行合野(2),33.36287,129.9355,行合野(2)
志気橋(2),33.35098,129.93304,志気橋(2)
水留(1),33.33995,129.93253,水留(1)
大曲(2),33.33395,129.93143,大曲(2)
高瀬(2),33.32788,129.9301,高瀬(2)
教会前(2),33.32001,129.92883,教会前(2)
南波多郷学館下(2),33.31654,129.92906,南波多郷学館下(2)
小麦原(2),33.30747,129.92667,小麦原(2)
府招(2),33.304336,129.922875,府招(2)
富田神社前(2),33.30075,129.91878,富田神社前(2)
府招上(2),33.29515,129.91437,府招上(2)
池の峠(1),33.291265,129.90871,池の峠(1)
十三塚(2),33.285,129.90007,十三塚(2)
永山入口(2),33.28078,129.89633,永山入口(2)
あさひが丘入口(2),33.27656,129.89459,あさひが丘入口(2)
白野(2),33.2751,129.8932,白野(2)
上伊万里(2),33.27346,129.89153,上伊万里(2)
大坪コミュニティセンター前(2),33.2742,129.88672,大坪コミュニティセンター前(2)
伊万里駅前(3),33.27277,129.87527,伊万里駅前(3)
大坪コミュニティセンター前(1),33.2743,129.88672,大坪コミュニティセンター前(1)
上伊万里(1),33.27358,129.89125,上伊万里(1)
白野(1),33.27518,129.89294,白野(1)
あさひが丘入口(1),33.27801,129.89496,あさひが丘入口(1)
永山入口(1),33.2806,129.89595,永山入口(1)
十三塚(1),33.28506,129.8999,十三塚(1)
池の峠(2),33.29194,129.90912,池の峠(2)
府招上(1),33.29484,129.9138,府招上(1)
富田神社前(1),33.30039,129.91832,富田神社前(1)
府招(1),33.30444,129.92285,府招(1)
